id,name,year,rank
64078,Cinderella,1997,
146416,Histoire(s),1998,
73911,Crouching Waiter Hidden Chef,2003,
99316,Elke Maravilha Contra o Homem Atmico,1978,
29256,Bangkok Story,1989,
256527,Piranha,1978,5.4
194690,Lost,1955,5.7
267383,Puppy Love,2001,
181335,Krl a zena,1967,
309570,"Soulier trop petit, Le",1909,
33826,Belyj royal',1968,
200455,"Magnets, The",1914,
126447,Gestern gibt es nicht,2003,
208682,Mayonaka no hanazono,1967,
22198,Asphyxiating Uma,2002,
308440,Son-Rise: A Miracle of Love,1979,
139996,Hathkadi,1995,
269979,Quite Ugly One Morning,2004,
97417,Eddie's Little Love Affair,1915,
197409,Lumpacivagabundus,1936,4.8
253506,Personality Parade,1938,6.1
354487,"Village 'Neath the Sea, The",1914,
231970,Night Into Morning,1951,6.5
242394,"Oompahs, The",1952,
150882,House of Cards,1917,
234895,"Nor-way to Broadcasting, The",1976,
182999,L.I.E.,2001,7.2
175496,Kenedi se vraca kuci,2003,
311888,Spraggue,1984,
138478,"Hanoi Hilton, The",1987,5.2
65044,Civilization,1916,6.3
278169,Riff-Raff,1990,7.1
127118,Ghost House,1917,
337607,Trail of Terror,1935,
236435,"Nueva Cenicienta, La",1964,4.4
16712,"Angel of Poverty Row, The",1917,
48709,"Buddy Holly Story, The",1978,7.1
139987,"Hatfields and the McCoys, The",1975,
59302,Chaos (2001/II),2001,
39645,"Black Lash, The",1952,5.6
357445,Vstrecha na Elbe,1949,
364913,Wie in schlechten Romanen,1964,
159075,Indian Dream,2003,
171384,"Justicia tiene doce aos, La",1973,
157378,Imgenes del deporte N 38,1971,
109653,"Fatal Hour, The",1908,
203271,Man of a Thousand Faces,2003,
369151,"Wunderbare Lge der Nina Petrowna, Die",1929,7.1
150136,Hot Dogs: Wau - wir sind reich!,1999,2.3
66258,"Co je vm, doktore?",1984,6.7
169041,Joop slaat weer toe,1970,
238721,Officer Number Thirteen,1925,
35847,Bez naziva,1971,
245078,Out of Luck (1921/II),1921,
198205,Lgrimas robadas,1954,
170139,Jugeoseo malhaneun yeoin,1974,
248048,"Papajides, Oi",1954,
314685,Sticks and Stones,2004,
299483,Shock: Diverso Diablica,1986,4.3
157206,"Important Witness, The",1933,
58365,Chaal Baaz,1980,
120271,Friendships Field,1995,7.4
297301,Shan ju hua,1982,
328685,Tervetuloa aamukahville eli tottako toinen puoli,1952,
224688,"Mystery Man, The",1923,
372509,"Young Children's Concert with Raffi, A",1985,
45640,"Boys Next Door, The",1996,
201954,Makkhee Choos,1956,
314697,Sticky Fingers,1988,4.7
24479,"Authentique procs de Carl-Emmanuel Jung, L'",1966,
218456,"Montagna del dio cannibale, La",1978,4.7
329517,That Sunday,1994,
269200,Que bonita familia: Pap 2000,2000,
193824,Lonesome Lenny,1946,8.1
263740,Primal Fear,1996,7.4
222636,Murder in Greenwich,2002,
352420,"Verne Miller Story, The",1987,4.9
15093,"Amour, L'",1970,5.9
234301,Noch pered Rozhdestvom,1913,8.8
278310,Rigoletto (1981/I),1981,
374353,Zeisters,1986,1.7
52445,Call Me Dragon,1978,
29086,"Bandit's Baby, The",1925,
84505,Deugeoun bada,1992,
233771,No Means No,1988,
98346,Einspruch III,2002,
79612,David's Walls,2001,
88909,Doctor Satn,1966,
86801,Dime por qu me dejas?,1979,
114679,"Five People You Meet in Heaven, The",2004,
257750,Playing Dead,2000,1.4
118438,Fourteenth Lover,1922,
365096,Wig-Wag,1935,
282668,"Royal Romance, A",1917,
358484,Waking Up in Reno,2002,5.3
128333,"Girl Must Live, A",1939,5.7
123708,Gang War,1958,5.9
10341,Alexander the Great,1968,
162452,Irren ist sexy,2004,
55486,Caro Nanni,1993,
251553,Pecado,1962,
32692,Before Dawn,1933,6.2
248889,Parenti serpenti,1992,7.1
199086,Mackenzie King and the Conscription Crisis,1991,
119736,Fremrykket mde,1964,
246308,Pad Italije,1981,6.5
3018,"70,000 Witnesses",1932,
85028,"Devil's Jest, The",1954,
290350,School for Swing,1937,
251434,"Peachbasket Hat, The",1909,
231675,Niemandsland,1931,6.0
351877,"Ventures of Marguerite, The",1915,
5706,Aci tesadf,1966,
354183,Viewfinder,2000,
252974,"Perfect Specimen, The",1999,5.4
247559,Panic,2000,7.0
72722,Crazy Love,2004,8.8
67725,Combat Killers,1968,
281790,Rosaura a las 10,1958,7.8
339616,Tricky Trout,1961,
325395,Tatort - Alles Theater,1989,
143105,Her Father's Son,1916,
98370,Einzug ins Paradies,1987,
37154,Big Jim's Heart,1915,
316879,Strict ang parents ko,1997,
333317,Time Out for Romance,1937,
102251,Er De med?,1954,
129188,Gladiator Eroticvs: The Lesbian Warriors,2001,
270676,Radio West,2003,3.1
118,'Halloween' Unmasked 2000,1999,
251828,Peg o' My Heart,1933,5.9
32518,Bedroom Doors,2003,
368486,"World of Tomorrow, The",1985,7.8
65228,Clash of the Titans,1981,6.2
167353,Jhoothi,1987,
98600,Eko eko azaraku,1995,4.8
15014,"Amour dans l'me, L'",1993,
354539,Village Sunday,1960,
57421,Cazador de cabezas,1992,
183728,Lady Killer,1933,7.2
349360,V trudnyj chas,1961,
332633,Tierno verano de lujurias y azoteas,1992,7.2
63237,Chronique danoise,2001,
320534,Svatbite na Yoan Asen,1975,9.2
256862,Pitfalls of a Big City,1923,
289556,Scarface,1932,7.9
115943,Flubber,1997,4.6
226555,Nae saengae danhanbeon,1969,
79884,"Day She Paid, The",1919,
38810,"Bishop's Emeralds, The",1919,
30277,"Baroness and the Butler, The",1938,5.3
281067,Romantic Reggie,1915,
366566,Wirbel um Irene,1953,
67060,"Collecteur, Le",1992,
258938,Poison,1997,
61824,"Children Pay, The",1916,
185516,Last Orders,2001,7.2
213893,Milion za Laure,1971,
240958,On Trial,1917,
357505,Vuelo de cantares,1985,
72544,Cranium Command,1989,7.3
195579,Love Finds Andy Hardy,1938,6.7
175068,Kebab Connection,2004,
189231,Liar,2004,5.2
358230,"Wahrheit ber Rosemarie, Die",1959,
308292,Son altesse impriale,1933,
76621,Dadetown,1995,6.3
72772,Creaking Stairs,1919,
173739,Kaptajn Klyde og hans venner vender tilbage,1980,1.3
117533,Fordringsgare,1968,
91092,Doraemon: Nobita no uchuu sh-sens,1985,6.3
300071,"Show Cowpuncher, The",1926,
112948,"Film im Film, Der",1925,
322486,Skromn zivoty,1990,
259628,Polizeiruf 110 - Petra,1982,
164024,Izakaya Chji,1983,
190345,Lifepod,1980,4.7
68072,Comfortably Numb (2004/II),2004,
167480,Jidai-ya no nyobo,1983,
377904,"tat sauvage, L'",1978,5.5
339593,Trickle,1998,5.5
359153,Wapas,1969,
218688,"Moon and Sixpence, The",1943,6.7
261617,Potato Fritz,1976,3.7
293362,"Segua, La",1984,2.1
275351,"Relitto, Il",1961,
151082,House of Usher,1960,6.8
24889,Ave de Arribao,1943,
267484,Pure Wickedness,1999,
112593,"Fighting Spirit, The",1927,
199527,Made in Vlaanderen: Willems & Co,1992,
206476,"Marrying Kind, The",1952,7.1
5048,Above and Beyond,1952,6.4
134327,Grierson,1973,
362314,What Love Can Do,1916,
86475,Different Slopes,1979,
143636,Here We Go Round the Mulberry Bush,1967,5.3
377894,sta que lo es...,1977,
55761,Cartas a Maria Teresa,1989,
299747,Shooting Stars Unreleased and Nude,1996,
67934,Come-Back,1981,
139341,"Hare-Brained Hypnotist, The",1942,7.0
368202,"Wooing of Winnifred, The",1911,
288827,Sauda,1995,
301092,Siegfried,1993,
7615,Afraid of Everything,2004,6.9
347675,"Unsichtbare, Der",1963,
300302,Shri Vinayaka Vijayam,1980,
31204,"Battle of the Red Men, The",1912,
29655,Barbara Parkins Ainda Est em 'Peyton Place',1998,
219853,Motel,1984,
325329,Tataynic,1998,
188336,Let's Do Things,1931,
304045,Skins & Needles,1999,
330236,They Were Sisters,1945,6.0
78912,"Dark Road, The",1917,
361304,"Welsh Singer, A",1915,
207951,"Matrimonial Boomerang, A",1915,
70992,"Correcteur, Le",2003,
226799,Nainen on valttia,1944,
142164,Heist,1998,3.8
275934,Reportages n 87,1944,
263965,"Prince and the Pauper, The",1915,
122957,Gakk no kaidan G,1998,
304029,Skinner's Dress Suit,1926,6.4
11923,"Alley, The (2003/I)",2003,
149999,Hot Applications,1917,
254568,"Phantom Tollbooth, The",1970,6.2
117248,For the Peace of Bear Valley,1913,
46104,Bratyuzhka,1976,
185764,"Last Winter, The",1984,3.7
360582,Weary Willie,1897,
285768,"Saint-Tropez, devoir et vacances",1952,
324385,Tangier Incident,1953,
63851,"Ciel est  vous, Le",1944,6.7
289671,Scary Tales,2001,
370399,"Yalta: Peace, Power and Betrayal",2002,
125394,Gemengd dubbel,1971,
323839,Tales from the Far Side,1994,
191123,Ling huan xian sheng,1987,7.2
353240,Viajero,1996,
231818,"Night Before, The",2003,
36733,Big Banana Feet,1976,9.3
319142,Sunny Jane,1917,
333251,Time In the Sun,1940,5.3
40084,Blackfly,1991,7.3
293757,Self Defense... for Cowards,1962,
290313,School Days (1932/I),1932,
148067,"Hombre en la trampa, Un",1969,
13601,Ame agaru,1999,7.8
240516,On gzel bacak,1964,
125835,"Gentleman Bushranger, The",1921,
354442,Villa a Lidn,1971,
234128,Noah's Flood,1997,
54722,Capullito de alhel,1945,
13733,America's Nightmare,2002,
175546,"Kennedy Center Honors: A Celebration of the Performing Arts, The",2003,
315480,Stork,1971,6.2
351056,Vedettes sans maquillage,1951,
109065,Farewell to My Country,2002,
169440,Journey Out of Darkness,1967,
44256,Border G-Men,1938,5.8
375339,Zivot je lijep,1976,
50868,By Default,1998,
117456,"Forbidden, The",1978,4.2
125859,Gentleman Jo... uccidi,1969,7.0
41876,Blue Moon,2000,4.8
100093,"Emperor's New Clothes, The",2001,7.1
61457,Chijo,1957,
160625,"Instalator, Ha-",1986,
7211,Advocat: Priznanie,2004,
340530,Trouble Man,1972,4.6
275939,Reportages n 92,1944,
60535,Chen Geng meng nan,1984,
52036,"Caifanes, Los",1967,8.7
288679,Saturday Morning,1922,
223364,Muthina Hara,1990,
179798,Komplizinnen,1987,
131751,"Goodbye Place, The",1996,6.4
75705,Cutthroat Alley,2003,
155957,Igeo doebnigga igeo andoebnida,1964,
344047,Uczta Baltazara,1954,
86745,Dillagi,1999,5.9
239816,Old Surehand,1965,5.2
154667,I tigerens je,1999,
169833,Jubunairu,2000,6.6
173750,Kaput lager - gli ultimi giorni delle SS,1976,2.9
287515,Sanity,1998,
191305,Lionman II: The Witchqueen,1979,4.8
194603,Los Angeles Plays Itself,2003,6.3
20968,"Art of Amlia, The",2000,7.2
6940,"Adventures of Busty Brown, The",1964,
149089,"HonigKuckucksKinder, Die",1992,
52015,Cahill U.S. Marshal,1973,5.9
105921,Expect No Mercy,1995,3.0
324605,Tanssi perhoseni tanssi,1999,
367040,Wives and Lovers,1963,5.2
338271,Trapped,1973,
332935,"Tigre se parfume  la dynamite, Le",1965,3.8
18973,Apokalypso - Bombenstimmung in Berlin,1999,
145814,His Brother's Ghost,1945,5.0
94213,Drylanders Episode 1,1974,
365560,"Wildcats of St. Trinian's, The",1980,3.1
36624,Bie jeojeun ibsul,1974,
192345,"Little Upstart, The",1915,
71633,"Counterfeit Contessa, The",1994,
316123,"Strange Love of Martha Ivers, The",1946,7.3
302882,Sinners and Saints,2004,
345678,"Unbezhmbare Herz, Das",2004,
277949,Riders,2002,5.1
212764,Michana,1975,
207942,Matriculated,2003,6.3
275291,Relative Values,2000,6.1
180404,Kort Rotterdams - Temper! Temper!,1998,
297710,Sharpe's Honour,1994,
362128,What About School Spirit?,1958,
177904,Kirmes,1960,9.2
166036,"Jazz Bug, The",1923,
177146,"Kind of Loving, A",1962,6.8
173214,Kan yom hobak,2005,
273759,Rechukka,1954,
90778,"Dono dei magi, Il",1992,
367441,"Woman Between, The (1931/II)",1931,5.0
122817,Gadis metropolis 2,1995,
234254,Noc poslije smrti,1983,
19686,Arara Vermelha,1957,
4407,Aasayam,1993,
187025,Lee Evans: Live at Her Majesty's,1994,
363673,"Whispered Name, The",1924,
44474,Born to Be Wild (1995/I),1995,4.4
120791,Froschknig,1987,
112523,Fighting Jack,1926,
53288,Can ku de xia tan,1992,
142808,Hendrik Conscience,1963,
209705,Meeting Magdalene,1995,
234154,Nobi,1959,8.3
143349,Her Pet,1911,
170759,Jungle Heat,1957,4.6
150326,"Hot Scots, The",1948,8.2
350295,"Van Boys, The",2000,
123290,"Gamble with Death, A",1913,
227704,Narcovision,1996,8.3
260900,Portagli i miei saluti - avanzi di galera,1993,
23553,"Attic Expeditions, The",2001,4.8
204045,Manevar,1969,
202031,Mala kucna panika,2000,
325143,Tarzan the Mighty,1928,
76709,Dafnis i Khloya,1993,
258818,Pohjolan thtitaivaan alla,1955,
94976,"Duke's Plan, The",1910,
296573,Sha mo tuo ling,1978,
113459,Find Me Guilty,2005,
355810,Viva Las Vegas,1964,5.8
242044,Only Once,1998,7.8
341283,Tsuma to shite onna to shite,1961,
169008,Jongjeom,1966,
275846,"Repartidores, Los",1991,
266136,Providence,1977,7.4
338982,Trekkies 2,2004,6.5
47717,Broncho Billy's Punishment,1914,
290524,Schulmdchen-Report 7: Doch das Herz mu dabei sein,1974,1.7
189685,"Liebe, Luft und lauter Lgen",1959,
72226,"Cowboy and the Lady, The",1922,
135201,"Guarida del ermitao, La",2003,
265279,Prodomeni agapi,1962,
325456,Tatort - Blinde Wut,1982,
124343,Gas House Kids Go West,1947,
45309,"Box, The (2003/III)",2003,
306851,"Socrate, Le",1968,
359588,Warszawa. Anne 5703,1992,7.5
36482,Bibi Fricotin,1951,
198996,"Macho en la carcel de mujeres, Un",1986,
298825,Shikijo-zuma: niku no yuwaku,1976,
101249,"Enfants, Les",1984,6.4
37768,Biletas Iki Taj Mahal,1991,6.0
193746,"Lone Wolf, The",1924,
369325,www.betreuteLoecher.de,2002,
331769,Thrill of Youth,1932,
239068,"Oh, What a Night",1944,
241320,"One Down, Two to Go",1982,3.1
174026,Kariera,1955,
115745,Flor de durazno,1917,
265632,Projekt Aqua,1969,
354886,Violet (2000/II),2000,5.1
204878,"Many Lives of Jason Voorhees, The",2002,
174763,Katzendiebe,1996,5.5
276407,"Resume, The",2002,
76951,Daisy and Simon,1988,4.2
53395,Canada Vignettes: From Cobalt to Casa Loma,1978,
42531,"Bobby Jones, Stroke of Genius",2004,5.9
187529,"Lei do Co, A",1967,
21372,Arutz 2: Achshav HaSeret,2003,
158505,In the Zone,2003,
112514,Fighting Hearts,1926,
189466,Lickin' the Quits: A Slice of American Culture,2004,
93888,Dromo,2004,
84833,"Devil and Max Devlin, The",1981,4.4
286106,"Salla, La",1996,7.6
46251,Bread and Roses,2000,7.1
185145,"Last Chapter, The",2004,
85973,Diario intimo de una cabaretera,1989,
4960,Abo el arabi wasal,2005,
102678,Erosu no ywaku,1972,
125682,Genival  De Morte,1956,
37825,Bill il taciturno,1967,
334102,To Be or Not to Be,1942,8.3
68272,Command & Conquer: Renegade,2002,
115912,"Flower of the Forest, The",1912,
354212,"Vigilante Contra o Crime, O",1964,
65427,Clay Fields,2003,
363441,Where the Spies Are,1965,5.4
338736,"Treacherous Shot, A",1913,
116985,For da Love of Money,2002,2.6
210048,Mein Vater und andere Betrger,2001,
278697,"Ripetente fa l'occhietto al preside, La",1980,3.9
270443,Rachel's Man,1974,1.0
360506,We're All Gamblers,1927,
167835,Jing li shi de kong wei zhi,1984,
346200,Under Your Hat,1940,
278893,Rita Hayworth: Dancing Into the Dream,1990,
191581,"Litri y su sombra, El",1960,
224809,Mystery Street,1950,6.7
326525,Teatralnyj roman,2003,
19256,"Aprendiz, El",1994,
140438,Hawai no yoru,1953,
370417,Yamaguchi-gumi San-daime,1973,
93294,Dreamland (2004/II),2004,
145936,His First Experience,1913,
327719,Ten Minute Alibi,1935,
182114,Kurukshetra,2000,7.0
235997,"Novia perfecta, La",1988,
241031,Once a Plumber,1920,
60804,Cherry Sorbet,2003,
3564,A u nas byla tishina...,1977,
54084,"Canto del gallo, El",1955,
20497,Armstrong,1998,3.8
213950,Milk,2004,
312521,SS Lager 5 l'inferno delle donne,1977,2.9
322016,Szaffi,1984,8.1
301980,"Silver Lining, The",1932,
176280,Kicking Through,1928,
105968,Experiment Bootcamp,2004,
81082,Death Diploma,1987,
20357,Armaan,1953,
232417,Nightmare 1040,1993,2.4
95757,Dybt vand,1999,
277029,"Revenante, La",1960,
371321,Yes We Can,1989,
154054,I Am Woody,2003,
288180,Sarangui wonjatan,1977,
277515,Rhythm Inn,1951,
179375,Koi ni inochi o,1961,
304543,"Slasher, The",1958,
80338,"De tripas, corazn",1996,8.5
368778,"Wreck of the Dunbar or The Yeoman's Wedding, The",1912,
241150,Once Upon a Tractor,1965,
183877,Ladykillers,1988,
106023,Expiration,2003,6.6
106606,Eyes for You,1996,
304225,Skulhedface,1994,
158216,In the French Style,1963,5.2
228902,Nazarn,1959,7.7
146564,Historias de ftbol,1997,6.6
320165,Surya,2003,
260442,Popular Science (1935/III),1935,
299208,Ships with Wings,1942,5.6
292189,Second Hand Wife,1933,
249267,Parole Racket,1937,
328929,"Teta y la luna, La",1994,6.6
193540,"Lollipop Cover, The",1965,5.3
107681,Falbalas,1945,6.8
248539,Paragraph 175,1999,8.2
81498,Decadence 37'2'',1992,
55378,Carne de horca,1953,6.4
274000,"Red Baron, The",1971,4.6
33293,Bela ptica,2004,
294800,Serial Thrillers,2003,
72498,"Cradle Snatchers, The",1927,
141499,Hearts of Humanity,1936,
64636,Cirkus Fandango,1954,
244316,Othello,1995,6.8
317309,Stuck On You (2003/I),2003,6.2
183741,Lady Luck,1936,
209597,Meet Marlon Brando,1966,5.5
309476,"Soul Enslaved, A",1916,
295087,"Set-Up, The",1978,5.5
180951,Kriminal,1966,4.7
104888,"Evase - Storie di sesso e di violenze, Le",1978,4.9
353348,Vicio e Beleza,1926,
159479,Inferno,1973,
227685,Narcos,1992,6.4
182435,Kyoto - Part 2,1996,
318810,"Summer Without Boys, A",1973,
302114,"Simla, Ha-",1970,
63625,Chyortik pod lobovym steklom,1987,
246861,Pajama Party,1964,3.9
201053,Main Prem Ki Diwani Hoon,2003,4.6
313179,"Stanza del figlio, La",2001,7.4
85542,"Diable est parmi nous, Le",1972,
165916,"Javel, hr. borgmester",2002,
13951,American Generator,2003,
161663,Intrusion,2003,
129649,Glutnitzata,1972,
245135,Out of the Cold,1999,5.8
358875,Waltz Time,1933,
332803,Tiger True,1921,
91333,"Dos federales, Los",2000,
95131,Dummies,1928,
15221,"Amy Fisher Story, The",1993,
254076,"Petite amie d'Antonio, La",1992,8.0
328559,Terror in the Mall,1998,
272877,"Raven, The",2003,9.5
57243,Cautionary Tales for Children,1996,
262479,"Prato macchiato di rosso, Il",1973,
326872,Teenmoti,1995,
131928,Gopher Broke,1969,
271903,Ramude Ravanudaithe,1979,
37000,"Big Cube, The",1969,3.7
301906,Silpheed: The Lost Planet,2000,
153430,Hwanghonui je3 budu,1971,
137097,Hafi,2002,6.7
118864,Frank Film,1973,7.2
289870,Schastye,1932,7.5
353030,Vi snakker frdsel,1942,
261274,Position of Trust,1963,
68538,Community Sing: Songs of the West,1939,
294587,September Tapes,2004,4.8
365459,"Wild Thornberrys: The Origin of Donnie, The",2001,
190688,Like Father,2001,5.7
94128,Drums Across the River,1954,5.5
177756,Kinnikuman: Gyakush! Uch kakure chjin,1985,
141009,Headin' North,1930,
142378,Hell Hunters,1986,6.8
98495,Ek Hasina Thi,2004,6.5
330951,"This World, Then the Fireworks",1997,4.6
25851,B. Monkey,1998,6.1
293624,Seitenstechen,1985,3.1
74305,"Crystal Gayle Special, The",1979,
8086,Against the Grain: More Meat Than Wheat,1981,
78031,"Dangerous Coward, The",1924,
247040,Pale Saints,1997,3.0
82908,Dense,2004,
263720,"Prima notte del Dottor Danieli, industriale col complesso del... giocattolo, La",1970,
277401,"Rey se divierte, El (1944/I)",1944,
224029,My Husband's Wives,1924,
260940,"Portes tournantes, Les",1988,6.1
230427,Never Too Young to Die,1986,3.1
61382,"Chief of Police, The",1914,
312116,Spurensuche,1997,
66584,Code 46,2003,6.5
189793,Liebesschuld,2001,
120923,Frmmande hamn,1948,
108227,Family (1999/II),1999,
19605,Aradhana,1976,
98166,Eight O'Clock Walk,1952,6.3
297763,Shattered Dreams,1990,
274373,Red Team,1999,4.2
79716,"Day After Tomorrow, The",2004,6.2
351402,Velluto nero,1977,3.7
61557,"Child for Sale, A",1920,
207860,"Mating of Marcus, The",1924,
280716,Rolling Stones: Voodoo Lounge,1994,
56865,Catch as Cats Can,1947,6.7
310027,Soy charro de Rancho Grande,1947,
35477,Between Two Rivers,1960,
32257,Beauty Unadorned,1913,
253719,Peshavarskij val's,1994,
125297,Geld aus der Luft,1954,7.8
356610,Voltaire,1933,6.5
89143,"Dog Catcher's Love, A",1917,
258369,Plutonium Baby,1987,2.1
236681,Number 96,1974,6.1
55901,"Casa con vista al mar, Una",2001,5.2
27665,Baginda,1997,
335729,Too Young to Marry,1931,
50137,Buscando la muerte,1989,
104409,Ethniki papadon,1984,
78200,Dangshineun nabbeun saram,1983,
371833,Yoho: Wonder Valley,1951,
256116,Pinched,1917,
6064,Acstico MTV: Jorge Benjor,2002,
137699,Hallucination Generation,1966,4.6
9658,Al Donahue and His Orchestra in Harmony Highway,1944,
138309,Hang Time,2003,
171310,Just William's Luck,1948,
170857,Junior Pilot,2004,
199561,"Madeleine, mon amour!",1970,
363154,When the Studio Burned,1913,
338344,Trash,1970,6.7
367533,"Woman in White, The",1917,
296893,"Shadowgraph Message, The",1913,
229104,Neapolitanische Geschichten,1978,
209432,Medicine on the Kansas Prairie,2002,
355221,Virtuous Sin,1930,4.1
51233,Bsame mucho,1945,
190307,Life's Twist,1920,
254347,Peeli efe,1959,
120847,Fru Inger til strt,1975,7.3
144712,Hier bei mir,2002,
368642,"Worm Turns, The",1937,6.6
362112,What a Woman!,1943,5.3
128145,"Girl Can't Help It, The",1956,6.7
167200,Jeunes filles en dtresse,1939,
223659,My Architect: A Son's Journey,2003,7.6
263266,"Presumption of Stanley Hay, MP, The",1925,
35660,Beyond Fear,1993,5.7
330001,There's Always a Woman,1938,6.1
136252,"Guttersnipe, The",1922,
74984,"Culte de beaut, Le",1931,
13182,Amarga amargura,1986,
138223,Hands Across the Border,1944,6.2
29548,Bar-Cel-Ona,1987,5.0
347850,Until September,1984,5.1
127080,"Ghost Breaker, The",1914,
209660,Meet the People,1944,5.6
42140,Blur: Live 13,1999,
66314,Coast Guard,1939,
371133,Yeo aegwon,1982,
58550,"Chaise, La",2002,
252385,"Penthouse, The",1967,3.7
113556,Fine Points,1934,
96298,"Da del compadre, El",1983,
91726,Double Express,1995,
235246,Nos enfants chris,2003,6.1
56424,Cast a Dark Shadow,1957,6.7
150792,House,1986,5.4
246346,Padeniye dinastij Romanovykh,1927,6.9
224292,My Serenade,1960,
243905,Osakaui wiroun byeol,1980,
122321,Fnrik Stls sgner,1910,
315682,"Story of Gilbert and Sullivan, The",1953,6.4
355368,Visions and Voyeurism,1998,
56054,"Casablancais, Les",1999,6.3
106318,"Extrao caso del hombre y la bestia, El",1951,7.8
209231,"Mecanicos ardientes, Los",1985,
203147,"Man in Hobbles, The",1928,
154284,I kajak til verdens ende,2000,
291471,"Scrisoare pierduta, O",1977,
231979,"Night Larry Kramer Kissed Me, The",2000,3.0
318890,Sumpah orang minyak,1956,
222861,Muro-ami,1999,6.0
4733,Abe Lincoln in Illinois,1964,
187033,Lee Ju-il ribbadong sajang,1980,
97848,Effie's Burning,1990,
230108,Net Keeper,2003,9.0
87148,"Dirch, dansk og dejligt",1993,
79932,"Day with the Meatball, A",2002,6.3
62280,"Chippendales Murder, The",2000,
165970,Jaws of Satan,1981,2.9
60425,Chelovechka narisoval ya,1960,
233469,No Act of God,1977,
205709,Maridos em Frias,1972,
38813,"Bishop's Wife, The",1947,7.6
378466,"ltimo penalty, El",1984,
107928,Falling Words,1997,8.6
106994,"Fabulosas del Reventn 2, Las",1983,
276838,Return to Babylon,2004,
210206,Mel Gibson's Unauthorized Video Diary,1991,
138822,"Happy Hooker, The",1975,3.1
28912,Banco,2000,
196235,Love's Lariat,1916,
148963,Honeymoon of Horror,1964,
25613,Aysecik - Fakir Prenses,1963,
35255,"Better Place, A",1997,5.9
354272,VIII premios Goya,1994,
367512,"Woman in Red, The",1984,5.4
159326,"Indrogables, Les",1972,
346840,Uneasy Virtue,1931,
