actor_id,movie_id,role
5,135644,Himself
78,298650,
92,148840,Johnny 'Small Warrior' Lowe
150,185764,Michael
172,93958,Doorman
194,298650,Himself
249,236458,Vidal Gandolfo
270,129649,
373,300565,Spy
395,313179,The Patient
473,359887,
480,262072,Kaspar Andropolous
545,76709,
713,180738,
756,122957,Himself (interview segment)
784,65427,Jimmy
810,126447,Gerhard Schmidt
831,306490,Col. Moore
949,344269,Datvia
962,211847,
980,77910,
1019,84833,M.C. Announcer
1088,370013,Marco
1108,71633,Lefty
1176,44474,Gorilla Team
1232,10156,Restaurant Patron
1311,50137,
1311,103482,
1326,317309,Bonnie & Clyde Musical Audien
1388,18953,Man on Street/Voice Over
1391,67934,Maas
1407,300565,Abu Yussef
1440,30678,Hotel Tenants
1508,2685,
1526,313179,The Patient
1563,54321,
1599,228902,Parricide
1618,198348,Publiciste
1637,138478,Cummins
1694,270676,Il Glabro
1718,62037,Zaccaro
1722,23448,Man on Phone #1
1763,7164,The Prussian
1763,133995,
1769,276724,Peanuts
1792,323123,Engelhardt
1809,31204,Sioux Brave
1822,108994,
1859,2685,
1877,148840,Silva
1890,118548,Chuck
1891,199820,
1893,10648,Mancini's Man 1
1919,206476,Newhouse
1927,330241,Fred (Drugstore Clerk)
1960,270221,A film director
1994,253898,Guard
2003,98166,Albert Pettigrew
2003,253898,Prisoner
2003,278727,Bartender
2005,61384,
2024,307805,
2024,355745,
2035,225281,
2073,222636,Morris Banks
2078,116002,Missionary 3
2162,247576,Chauffeur
2200,308440,Raun Kaufman
2229,78882,Deputy
2251,195483,Donald Richardson
2264,190572,Cole Younger
2270,128440,Shell game player
2270,163485,Ed (building & looan deposit 
2270,203064,Shorty Bates
2270,249267,Manelli
2270,276724,Driver
2270,361638,Watson
2381,241629,Capt. John Gregory
2384,30277,Footman
2399,138822,The Banker with Chris
2407,308440,Raun Kaufman
2506,274000,Owen
2522,256116,
2557,89742,Detective supervisor
2583,278004,Townsman
2600,6082,
2726,118696,Editor at Lillköpings-Posten
2726,316909,Janitor at City Hall
2949,3277,Christopher
2966,79716,Truck Radio Announcer
2978,272956,Billy Dent
3049,340824,Frankie
3100,205292,
3140,117091,Locker Room Attendant
3225,76562,Lawrence Bowen
3267,212135,
3336,23448,Dr. Clete Ferguson
3336,280158,Tom Baxter
3355,302965,Principe Piet
3414,325995,Bartender
3451,373711,
3556,289332,
3566,88909,
3566,334651,
3709,212344,
3741,103482,
3805,108994,
3855,13182,
3906,354442,Smith
3971,297763,Kevin
3974,362112,Henry Pepper
4043,122448,Henning
4153,294479,
4212,349141,"Hugo Turhapuro, Uunon isä"
4261,102327,Mopoilija/markkinamies
4297,309829,Card player
4382,355810,Driver
4400,198026,Specialty Dancer
4421,58856,
4421,71948,Sergeant of Post
4464,59341,Count Van Tuyle
4464,240958,Robert Strickland
4465,42531,Barbershop Quartet
4548,37154,
4553,82756,Youth
4591,17375,
4591,359153,
4610,175496,Himself
4613,4198,
4637,296510,Fire Three 1
4654,296510,Kawai
4671,295505,
4758,109857,Frantic Father #1
4782,33826,
4820,161727,Weller
4824,157290,Cop
4846,39108,Sheriff Lobo
4846,67682,Ben Lane
4882,118,Himself
4893,58924,Chanakya
4893,228755,
4893,271903,
4893,273759,
4912,191305,
4941,180738,
4960,157342,
5007,83333,
5138,249885,Wiesiolowski
5142,79716,Venezuelan Delegate
5178,149322,Mark
5375,373798,
5434,58778,Bartender
5529,270724,Agent
5530,42140,Himself/Singer
5531,227685,
5538,232397,Man in Bar
5587,183728,Director
5587,362752,"Rigo, Restaurant Owner"
5599,204512,Morris Flint alias Sherlock H
5626,341973,"Theo, magiker"
5627,133995,Nico Tamasis
5661,44474,Plain Clothes Officer
5670,317309,Outta Sight Singer #1
5774,163485,Sam Wainwright
5791,88199,
5876,42531,"Robert Tyre Jones, Sr."
5890,301980,Bobby O'Brien
5914,55378,Juez de ronda
5925,2616,Agent Fanning
5968,287445,
6058,335287,Himself
6068,96332,
6069,205137,
6096,19298,Billy Shay
6131,278169,Director
6136,26019,
6206,149089,
6213,38813,Stevens
6213,195579,Court Attendant
6263,138822,Ryan
6265,366882,Searchlight
6341,60396,
6367,270724,
6379,156905,Priest on Bicycle
6402,244651,
6416,232668,Zotov
6448,246346,Himself (with Tsar Nicholas)
6478,129649,
6513,287445,
6513,355745,Martin Duran
6528,125682,
6534,138478,Maj. Ngo Doc (Cat)
6553,246861,Pajama Boy
6598,168725,Old Man
6619,270440,Johnathon Kipplinger
6630,35276,Little Dick
6630,169228,Tommy Josselyn
6649,311080,
6672,189982,Doctor
6679,95510,Man #1
6706,330514,Man at Railroad Station
6711,155209,Kelvin
6712,56861,Fat man in audience
6762,64078,Lionel
6762,171191,Radio Announcer
6772,206476,Howard Shipley
6809,264064,John Booth at 12
6828,231919,Assistant D.A.
6836,117091,Waldorf Pianist
6870,116193,Fritz
6870,145814,Henchman
6900,277949,Rippy
6936,223389,
6969,42633,Alcalde
6997,217216,Abraham
7025,200334,Himself
7029,104930,Ernesto
7112,135644,(himself)
7114,209034,
7141,137146,Gépkocsivezeõ
7170,374353,Milton
7215,197808,Mörner's Assistant
7218,377894,
7290,116985,Tone
7322,10550,Himself
7355,351402,Ali
7399,92555,
7422,179109,Porucnik
7558,84521,Patrick
7779,237568,Big Judson
7779,304801,Col. Doharney
7779,309476,Ambrose
7811,13742,Himself
7855,260327,Himself
7902,92112,Security Guard
7918,245642,
7930,302709,Sheriff Teasley
7966,141009,1st Smith (of Smith & Smith)
7966,278727,Fire Chief
8041,54657,Lenny
8152,239762,Rex Allen
8164,309829,Army corporal
8251,68027,Himself
8274,186416,Mojave Kid
8274,308898,Sheriff
8282,89742,Bartender
8359,338982,Himself
8365,62037,Snow
8410,127481,Policeman
8450,183741,Briggs
8568,334651,
8579,353240,Commandante Hernández
8599,84833,Ticket Taker
8617,247032,People of the Night
8714,7506,
8714,99245,Il notaio
8714,116496,
8721,118696,Mayor of Lillköping 2006
8725,369870,Himself - Winner: Best Film
8728,369870,Himself - Winner: Best Film &
8750,149904,
8757,316909,Man in City Hall
8768,377616,"Gábor, Anna's brother"
8844,279255,
8862,219853,Andres Camargo
8895,94593,Senén
8896,239010,Presentador
8963,262072,"Joe Blainey, the trucker"
9132,199820,Re Abdullak
9229,156431,
9246,182999,Marty Blitzer
9259,334153,Dogger
9310,80338,Jesús
9394,50137,
9431,96632,
9443,76127,
9443,116426,
9493,137685,Himself
9505,75696,Peppermint
9538,10996,
9538,119108,
9552,27682,
9574,224155,Race Course Extra
9617,212135,
9623,60396,
9624,116426,
9643,235889,Som Imaginário
9708,377118,
9732,156431,
9732,370636,Ibrahim
9793,262704,Finnish Teammate
9827,96403,Luis Llanero Macita
9935,29655,Barbara Parkins'Fan
10046,107681,Antoine
10066,102678,
10121,311500,Doctor
10136,330236,Blakemore
10200,195170,Police inspector
10241,225985,
10342,324609,Clem Fordrough
10351,223389,McMurtrie
10351,308603,Claude Joseph Rouget de Lisle
10368,134327,Himself (schoolteacher)
10371,14324,Presenter
10409,312521,
10437,334153,Go-Go Dancer
10443,377894,
10456,35586,"Amin, Amule"
10522,311500,Art Critic
10569,268549,Himself
10634,345096,Le copain
10674,5189,Guilherme
10730,300926,Tommy
10740,108600,Operator
10760,206630,Martin Madahas
10775,250609,Ramakant Waghamare
10776,98346,
10846,354212,
10877,293629,
10894,20357,
10902,182114,
10902,250609,
10912,17375,Bhatia
11035,221559,
11047,310027,Renato Flores
11063,151082,Ghost
11066,338262,
11127,117673,Sean Parker
11140,334102,Gestapo Sergeant at Desk at T
11160,102251,Speaker
11227,154284,Himself
11307,113363,Faher Halligan
11316,169041,
11323,189982,Junkie
11349,131974,
11350,243525,
11408,306324,
11488,332133,Dan
11501,245645,William
11548,69905,Himself (Medium)
11555,47632,Broncho Billy
11555,47659,Broncho Billy
11555,47682,Broncho Billy
11555,47713,Broncho Billy
11555,47717,Broncho Billy
11555,361783,Broncho BIlly
11576,66314,Sailor
11599,94128,Jed Walker
11599,114582,Eric
11633,230427,Arliss
11692,13392,
11718,105726,Thug
11733,224155,Race Course Extra
11836,38813,Defense captain
11854,297763,Wilkes
11865,299925,Alex
11881,263740,Archbishop Richard Rushman
11947,107581,Walter Medcraft
11948,276890,Crack Rider
11953,203147,Elmer Harris
12151,344269,Vajia
12159,202031,Vajfert
12181,320534,
12238,216542,Radio reporter
12246,211324,
12258,142378,Additional Cast
12328,299483,
12350,199086,
12356,345096,Le serveur
12358,90778,
12415,142378,Johann
12476,316047,Dr. Jekyll/Mr. Hyde
12488,118,Himself
12507,44408,Tom Phillips
12600,62280,Steve Banerjee
12631,105921,Alexander
12638,66314,Comdr. Hooker
12638,187691,Judge
12668,357445,Sgt. Yegorkin
12695,172463,
12695,275271,
12810,249885,
12825,67934,Pater
12902,292724,
12916,122957,(story '4444444444')
12929,33813,
12976,55901,
12995,26022,Son
12996,15221,Stephen Sleeman
13055,317718,The parish priest
13066,25851,Gangster
13149,169163,Dance Teacher
13210,328929,Casteller
13214,87497,Stéphane
13223,369230,Himself
13276,147378,Pepe
13285,313865,Himself
13328,60425,
13353,46064,
13406,182114,Avinash
13416,94128,Chief Ouray
13416,209660,Monte Rowland
13427,285696,
13517,369230,Rosey
13525,373515,
13535,57925,
13556,260900,
13562,220637,
13631,10316,Alex
13653,239816,Toby
13660,134327,Himself
13689,174026,Tradesman
13776,328748,
13793,365560,Sam
13811,129188,Barbarian
13857,190688,Removal man
13872,128145,Himself
13901,18953,Voice Over
13969,277949,Policeman
13970,87497,Le pianiste
13986,180612,Joja
14002,149904,
14005,328559,Tom
14021,113485,Joey Kovich
14033,133110,Magazziniere
14066,239816,Maki-moteh
14087,115745,Pascual Costa
14087,236435,
14103,58778,Locksmith
14114,140442,Rev. Abraham Hewlett
14147,79231,
14224,231970,Mr. Andersen
14293,69054,
14363,65386,Cherrie
14412,177756,Hydra King
14443,300481,Harumatsu
14461,175479,Curtis
14474,125859,
14519,306312,Red Eagle
14531,32692,Police Insp. John F. O'Hara
14531,41095,Doctor attending Pop
14531,335320,Asa Marsden
14531,355221,Maj. Ivanoff
14564,73442,Paul
14584,116002,Missionary 2
14693,260909,
14741,365220,
14828,374173,
14841,104930,Table #3
14859,345026,"Sam, le gentil flic"
14886,376122,Foreigner
14888,167200,Le ministre
14941,332696,
14957,108743,Didi
14969,307805,
14978,169698,
15016,169698,
15018,28702,
15060,370075,
15091,88324,Julio
15096,204045,
15184,298252,Shingo Kono
15224,12105,
15239,146564,
15271,269532,
15284,184233,
15303,38205,
15303,129135,
15364,53140,Anitas barn
15367,78031,David McGuinn
15372,179029,Pug
15379,276890,Patton's Roughriders
15383,54321,
15383,55378,Posadero de Utrera
15383,191581,Sr. Pinzón
15383,197473,
15397,63799,
15402,55901,Fotógrafo
15402,260940,Madrigal Blaudelle
15500,241031,Second Detective
15510,177521,Bill Summers
15528,224445,Richard
15588,26019,
15610,184233,
15619,236458,Official
15641,7198,Reporter
15682,182999,Desk Sergeant
15703,211322,
15708,101249,Le journaliste
15713,252036,Yniold
15736,177335,Undetermined Role
15795,96298,
15816,225820,
15863,369151,
15890,226198,
15894,95757,Niko
15938,27682,
15944,177335,The Duke of Albany
15944,367533,Walter Hartridge
16011,41876,Tony
16011,142985,Avram
16011,154054,Salvatore
16011,340824,Lenny
16086,330264,
16115,113363,Detective #1
16124,332633,Doria
16157,240516,
16231,364141,
16244,126504,Architect
16244,275291,
16320,178461,Beko
16321,33813,
16350,373515,
16364,13742,Wellness Guide
16364,56889,"Capt. John Yossarian, (bombar"
16364,157290,Jeffrey Martley
16370,5706,
16370,370636,Ali
16395,56297,
16412,298068,Capt. Colton
16434,356610,Voltaire
16488,262704,Reporter
16553,327016,
16587,131507,Mike Zaloris
16587,260224,Tony
16587,289556,Pietro (barber)
16614,274000,Wolff
16650,61824,Horace Craig
16669,94808,Lacourbe
16669,126504,Keith
16754,190688,Joe Elliot
16774,340810,Himself
16838,338982,Himself
16853,261530,Sid Roth
16868,254076,Marc
16880,64636,"Fandango, boss"
16936,325888,Messel
16944,266136,Nils
16944,353516,
17000,289556,Orchestra leader
17007,41843,
17013,277515,Comedy dance team member
17032,249267,Kennedy
17151,220637,
17174,19187,Ian
17195,315175,J.C. Berg
17201,3018,
17257,203479,Ernest Quimby
17299,260327,Host
17433,131716,Paul Bladon
17446,254076,
17481,351712,Spectateur myope
17507,225820,Arrelia
17614,94593,Don José
17680,76127,
17864,332133,Prison governor
17865,347341,Freddie Goodlittle
17944,14624,Michael
17948,100093,Junior Orderly
17991,46064,
18010,228902,
18010,248291,
18076,173651,
18090,211223,Mko
18114,8086,
18184,95510,Watchman
18185,140036,Algebra
18199,211223,Himself
18268,110283,Phil Jackson
18301,272619,Thief
18319,307425,Doug
18347,183728,Hood
18426,139503,Bill Dorgan
18517,127683,Capt. Kassari
18517,272534,Raff
18529,304300,Cortland Grand
18532,316123,Man
18588,1748,Himself - Winner
18610,222636,Chief Thao Ferris
18622,6936,Highway Patrolman
18622,266623,Sgt. Matthews
18644,336652,Policeman
18669,276838,
18679,328685,
18703,160625,
18704,197808,Dansbandet Dannez
18736,231919,D.D. Franklin
18781,111777,
18821,302965,Chinook Piet
18876,214517,Cmdr. Sarg
18910,288778,Peter
18919,261530,Passport Official
18966,309526,Rip
19059,2360,Himself - Presenter: Best Son
19104,1748,Himself - Winner
19147,66891,Roland
19186,42311,Transvestite Guy
19324,304300,Mark
19350,277964,Sheriff Brown
19350,296859,Soapy Jones
19408,46251,Himself - Party Guest
19408,105726,President John Fields
19457,297710,Ducos
19506,117456,Faust
19542,106493,Angry Man
19543,203097,British soldier
19573,246861,Pajama Boy
19598,325995,Dancing Bear Shopper 1
19607,276838,William Desmond Taylor
19608,244276,Otello
19608,352610,
19632,28059,Raizo Hayashi (Episode 3)
19713,98166,Tom Manning
19717,118094,
19720,140442,Gideon Hale
19723,275291,Nigel Marshwood
19723,297710,Capt. Peter D'Alembord
19804,334102,Rawitch
19873,68272,Dr. Ignatio Mobius
19873,187137,Janos
19873,365220,Jake Spence
19939,47309,Orderly
19939,145814,Farmer
19939,146010,The tourist
19939,167528,
19939,278004,Townsman
19939,303473,Barber Customer
19989,142985,Jack the Author
19990,351056,Himself
19993,17965,Scott
20109,292531,Councilman 1
20137,190572,Young Comanche
20162,347850,TWA Official
20197,171537,Mechanic
20197,312415,Director
20209,93443,Barmann
20268,46251,Ernest
20287,66891,Johnny
20290,7615,Donnie
20323,328685,
20342,241150,
20375,10648,Cop 1
20444,92556,Herr Franke
20444,325395,Erwin Sadowsky
20474,92112,Cop in Helicopter
20497,2721,Himself
20519,308603,Listener at Baron's
20555,313865,Himself
20568,155903,Toby
20579,200925,
20604,369255,Stone Cold Steve Austin
20619,62280,Chief Coach
20624,115045,Himself
20661,150792,Cop #3
20666,210432,Gene Autry
20688,354661,Simon
20748,69054,
20765,354442,Ottorino (Italien police comm
20795,241943,
20862,151675,2nd Junior Executive
20908,251434,On Street
20944,250881,Saghatel
21038,21372,Himself
21063,2616,Buzz Olin
21073,278697,Angela's Father
21174,13547,Porsche Driver
21265,269200,Señor Mendoza
21289,285696,
21313,352420,Cop #1
21362,346266,Himself
21374,30180,Baby Bop
21391,170857,Air Traffic Controller
21412,210206,Himself
21420,263173,Joe Reed
21431,127481,Manners
21431,162366,
21432,220916,Mr. Emmanuel
21432,272616,Prosecuting Counsel
21436,85028,Victor
21474,63799,
21483,10156,Angry College Student
21492,87542,Talmadge
21500,143924,Gen. Courts
21592,276545,
21634,227781,
21700,129135,
21719,63625,
21738,15093,Le présentateur
21862,137097,Liquor store clerk
21921,67958,
21932,377904,Modimbo
21996,309526,Cum Posey
22030,167353,
22187,30678,Casey's Date
22196,4407,
22203,288778,
22262,263740,Sergeant
22305,58856,
22344,304225,Himself
22365,201053,Prem Kumar
22376,377904,Renard
22561,241629,Dr. Girodet
22564,5048,Gen. Curtis E. LeMay
22582,223659,Himself
22585,95834,Jake
22585,305631,Antagonist in Automobile
22585,333493,"Henry, the Drunken Wagon Driv"
22585,362112,Newsman
22586,187249,Cowboy
22592,47682,
22603,228303,Presenter
22622,93958,Sgt. Robinson
22625,202240,"Juste Maldone, l'oncle"
22670,260909,
22746,92074,Un cameriere
22783,188995,Victima #2
22784,67060,
22784,100541,
22784,148719,
22821,14624,Abused Bouncer
22875,371133,Hwa Sam-yu
22896,371133,
22899,170139,
22916,161278,Himself
22920,213893,
22931,5048,Captain
22937,136509,Mr. Kringelein
22995,250795,
23047,131716,Jess Santiago
23066,28735,Badyakar
23130,190307,Jim Sargent
23153,7506,
23175,106493,Sean Kosinsky
23178,232417,Angry Driver
23219,99245,Un soldato dei dragoni
23223,40559,Fonctionnaire douane
23261,332935,Hans von Wunchendorf
23378,4536,Trip Hop Inferno: Virgil
23395,344547,Webster
23482,274450,McCarthy
23488,35255,Ryan
23498,359482,Tom Schmidt
23519,76562,J.C.
23536,287815,Homesteader
23546,35255,Young Ryan
23566,231330,Toy Store Employee
23598,323825,Thomas Mann
23604,323134,"Instructor, Additional Voices"
23610,89310,Spud
23632,112523,Jack Rhodes
23632,224188,Greed's Assistant
23685,166878,
23774,195483,Arnold Merritt
23793,177427,Projectionist
23798,162366,
23817,114842,Billy
23903,33293,
23928,344039,Krytyk
23973,315480,Clyde
24053,81605,Mr. Kurlick
24060,362752,Showalsky
24075,270440,Window Sniper
24088,107428,Hog-truck driver
24175,30277,Member of Parliament
24195,358875,Orlovsky
24236,116193,Fighter
24267,185516,11 Year Old Vince
24298,64554,Dwarf
24389,118937,Himself
24426,158216,Walter Beddoes
24445,294800,The Doctor 4
24446,137699,Denny
24448,185516,7 Year Old Vince
24476,183741,Dave Holmes
24476,306490,
24483,46104,Partizanskiyat komandir
24598,348671,
24608,367094,Various characters
24634,67784,
24641,140824,
24654,56889,Capt. Orr
24784,63625,
24982,156905,Morelli
24992,13392,Delivery Man
25019,60804,Gorilla
25034,352420,Bold Policeman
25088,214143,Mr. Sloane
25088,316123,"Dempsey, Garage Owner"
25090,107428,Max Kirkpatrick
25107,351632,
25126,192630,Jonas
25164,233829,Vince Fortner
25166,171310,Jenks
25174,367512,Traffic Controller #1
25194,348671,
25314,16397,Himself
25332,80500,Mike Billings
25366,19260,Maestro
25390,256116,
25491,57421,
25491,85973,Daniel
25510,204512,
25529,149322,Cuban Leader
25531,93443,
25539,100093,Lieutenant Truchaut
25632,83333,
25644,57508,M. Messardier
25697,191581,Narrator
25699,8583,
25716,139503,Announcer Sam Balter
25810,137146,Apa
25825,149642,4th Lt. Archie Kennedy
25848,296859,George (cowhand/musician)
25853,92555,
25869,222668,Judge Brooks
25938,128584,The Locksmith
26023,16397,Himself
26114,355810,Man
26143,370742,
26152,133110,Nicola
26152,278697,Rodolfo Calabrone
26188,304185,Studenten
26212,289671,"Agent (segment ""The Death Of."
26222,77910,Handoko
26241,291471,
26252,202667,Mauris
26276,95757,Læge
26298,294800,Himself
26299,241320,Announcer
26303,70588,The astrologer
26328,113485,Ollie Johnson
26348,315682,Strephon in 'Iolanthe'
26349,6936,Jack the Orderly/Lizardo Hosp
26353,299208,Vice Adm. David Wetherby
26465,70588,Gen. Polkan
26501,39645,"Brant, stock footage"
26634,175479,Claude's friend
26635,169258,Himself
26657,36482,Bibi Fricotin
26704,374173,
26715,377616,Bandi kollégája
26734,25633,
26734,173422,
26760,247032,People of the Night
26780,363441,2nd Agent
26935,108065,Bardolfo
26954,372433,Drive-in worker
26998,131754,Marek Malinowski
27045,337920,Tramp
27059,173318,Pedestrian
27144,209034,
27163,111104,Walter
27176,148719,Carl
27182,305609,King Adolf XV
27247,54999,
27247,125859,
27247,261617,
27313,256527,Man in Boat
27372,5189,Capanga
27373,344762,
27412,344039,
27428,191273,Paddy Callahan
27441,372433,Stretch Grass
27472,44338,Jack Gattling
27472,113894,Deputy Ike
27472,138223,Deputy
27472,239762,John Anchor
27520,336267,Cayetano
27522,328929,
27522,336267,Quinqui del billar
27528,248291,
27540,330241,Shattuck 'Shack' Clay
27546,374353,Bank Member
27574,218376,Ben
27592,236046,Himself
27596,48796,Paco
27681,107681,Janitor
27803,302114,
27837,351877,
27843,117456,
27876,131507,Oliver Yates
27888,170759,Dr. Jim Ransom
27997,261274,
28039,281448,Johnny
28052,278169,Pianist
28084,115943,Medfield Basketball Player
28116,247559,Louie
28125,116496,
28138,333245,Timothy Crouch
28138,358875,"Falke, the Bat"
28166,252787,Pere (Wild)
28176,206630,Policeman
28185,353516,Tom
28248,60246,Sam Wah
28248,351877,
28289,363154,Director
28297,314940,Backing Vocals
28299,72275,
28321,66584,Man in Corridor
28330,52015,"Pee Wee Simser, Outlaw"
28361,41006,George
28375,52015,"Sheriff Grady, Valentine Texa"
28382,220602,Himself - Band Leader
28398,186304,Allen Hayes
28461,77992,Bennie
28461,124343,Steve
28461,302709,Kewpie
28561,71948,
28573,81605,Little Man
28612,252914,
28644,48796,Inspector
28722,56522,El negrito - chico de goma
28757,38136,Hospital Roommate
28774,35594,
28878,340177,D'Artagnan
28913,8583,
28964,52036,
29040,105921,Bodyguard #5
29152,323964,Stephen Wallace
29174,54999,
29174,301175,Flaccus
29177,193801,Sam
29201,35276,Sir Richard Beverly
29201,169228,Gibbs Josselyn
29201,364834,Lt. Steven Pennington
29288,251553,
29385,164399,"Dr. Albuor [Chs.3,5,14]"
29385,203090,Clerk
29385,308643,Jolo
29482,334208,
29505,304029,Colby
29505,332803,Mr. Lodge
29506,194470,Timothy Lynch
29513,263965,Earl of Hertford
29587,291252,Warner's Son #1
